ID;Tipo de Producto;Nombre;Descripci¢n;Descripci¢n Corta;Categor°as;Nombre variante;Nombre opci¢n;Stock;Peso;Precio;Tipo Descuento;Valor Descuento;Impuesto;Marca;Proveedor;Referencia Proveedor;C¢digo de Producto;Estado;Coste;R¢tulo de Marketing;Fecha Etiq. Mark.;Segunda mano;En Portada;Tags;Im†genes;Personalizaciones
;;;;;;;De 48 a 96 uds.  (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 96 a 192 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 192 a 384 uds. (m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 384 uds. en adelante 8m£ltiplos de 12) grabada a l†ser;;;0;;;;;;;;;;;;;;;;
7303199;0;COPA CERVEZA EXCELSIOR 39 CL. GRABADA CON SU LOGO;"<h2>Copa de Cerveza Personalizada Excelsior 39 cl</h2><h3>Personalizada con tu logo a l†ser o a uno o dos colores</h3><h3>PRECIO TODO INCLUIDO</h3><p>Es una copa de cerveza de gran presentaci¢n, en cristal, de tallo no muy largo pero grueso, que guarda mejor la temperatura.</p><p>Su brillo, sonoridad y buen tacto le hacen merecedora de los mejores paladares de degustaci¢n.</p><table class=""table""><tbody><tr><td><strong>MARCA:</strong></td><td>Importada por DKRISTAL de fabricaci¢n Turca</td></tr><tr><td><strong>MODELO:</strong></td><td>Excelsior</td></tr><tr><td><strong>MEDIDA:</strong></td><td>39 cl. 186 de altura<br></td></tr></tbody></table><br>";<h2>Copa de Cerveza Personalizada Excelsior</h2><h3>Personalizada con tu logo</h3><h3>PRECIO TODO INCLUIDO</h3>;Cristaler°a Personalizada para Hosteler°a y Restauraci¢n| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS>COPAS DE CERVEZA PERSONALIZADAS| PRODUCTOS PERSONALIZADOS| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS>GRABADOS A LASER| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS;EXCELSIOR 39 CL. A LµSER O COLOR;;;;;;;21;DKRISTAL/PHCOM;;;;1;;PRECIO DESDE 48 uds.;;0;1;;;[ADJUNTA AQU÷ TU LOGO EN 35MM*35MM][][][1][6]|[ADJUNTA AQU÷ TU LOGO PARA DOS COLORES][][][0][6]
;;;;;;;De 48 a 96 uds.  (M£ltiplos de 12) grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 96 a 192 uds.  (M£ltiplos de 12) grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 192 a 384 uds.  (M£ltiplos de 12) grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;De 384 uds.  en adelante(M£ltiplos de 12) grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
7303479;0;JARRA DE CERVEZA PERSONALIZADA. CLASSIC 25 CL;<h3>JARRA DE CERVEZA PERSONALIZADA. CLASSIC 25 cl.</h3><h3>Personalizada con su logo</h3><h3>PRECIO FINAL TODO INCLUIDO excepto IVA</h3><p>La <strong>Jarra de Cerveza Personalizada</strong> Classic es alta y de poco di†metro, de base s¢lida como mandan los c†nones de los <strong>Vasos de cerveza</strong> para que la temperatura se mantenga lo m†ximo posible. </p><p><strong>Personalizar</strong> este tipo de <strong>Jarras de Cerveza </strong>es encontrar un muy buen resultado final, su vidrio es muy apto para el grabado y el espacio a lo alto tambiÇn, lo que permite crear logos no exagerados que al final son m†s elegantes. </p><h2>Ficha tÇcnica:</h2><table><tbody><tr><td><strong>MARCA:</strong></td><td>LIBBEY</td></tr><tr><td><strong>MODELO:</strong></td><td>CLASSIC</td></tr><tr><td><strong>MEDIDAS:</strong></td><td>25 cl. 155 mm Altura<br></td></tr><tr><td><strong>MATERIAL:</strong></td><td>VIDRIO</td></tr><tr><td><strong>GRABADO:</strong></td><td>A l†ser</td></tr></tbody></table>;<h4>JARRA DE CERVEZA PERSONALIZADA. CLASSIC 25 cl.</h4><h4>Personalizada con su logo</h4><h5>PRECIO FINAL TODO INCLUIDO excepto IVA</h5>;Cristaler°a Personalizada para Hosteler°a y Restauraci¢n| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS>JARRAS CERVEZA PERSONALIZADAS | PRODUCTOS PERSONALIZADOS| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS>GRABADOS A LASER| Cristaler°a Personalizada para Hosteler°a y Restauraci¢n>JARRAS DE CERVEZA. VASOS Y COPAS;Classic 25 cl. ;;;;;;;21;LIBBEY /PHCOM;;;;0;;PRECIO DESDE 48 uds. ;;0;1;;;[ADJUNTA AQU÷ TU LOGO: JPG, PNG, PDF o el de tu dise§ador directamente][TU LOGO][][0][6]
;;;;;;;48 Grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;96 Grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;192 uds.  grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
;;;;;;;384 uds. grabadas a l†ser;;;0;;;;;;;;;;;;;;;;
7306917;0;MANTELER÷A TEXTIL PERSONALIZADA A MEDIDA;"<h2>Manteler°a Textil Personalizada con su logo</h2><h3>Hecha a medida de cada una de las mesas, con la ca°da que usted desee y la m†xima calidad de confecci¢n</h3><h3>Una opci¢n viable a partir de 12 mesas de comedor aproximadamente. </h3><p>Las opciones desplegables del producto no tienen porquÇ ser exactas, usted d°ganos quÇ medidas de mesas tiene y le haremos un presupuesto al efecto.</p><p>S° sirven las opciones desplegables como precios fijos, es decir un mantel de las medidas ah° expuestas tiene ese precio, pero a pesar de haber hecho un desplegable que puede encajar perfectamente con las medidas de las mesas de su establecimiento, somos conscientes de que pueden haber diferentes, por ello es imprescindible que mida las mesas, una a una nos dÇ este detalle:</p><p><img src=""https://cdn.palbincdn.com/users/36776/upload/images/tabla-1.png""></p>";"<p>Es importante que tenga en cuenta los <a href=""http://personalizados-hosteleria.palbin.com/b19449-personalizar-manteleria.html"" target=""_blank""><strong>consejos de este enlace, ver.</strong></a> </p><p> Adem†s te dejamos aqu° la <a href=""http://personalizados-hosteleria.palbin.com/b19458-caracteristicas-tecnicas-de-tejido-para-personalizacion.html"" target=""_blank""><strong>Ficha TÇcnica del Producto, ver.</strong></a></p><p><a href=""http://personalizados-hosteleria.palbin.com/b19460-colores-disponibles-para-personalizacion-manteleria.html"" target=""_blank""><strong>Y los colores disponibles</strong>,</a> en el primero ver†s el color del tejido y en el segundo c¢mo quedar°a el tramado, <a href=""http://personalizados-hosteleria.palbin.com/b19460-colores-disponibles-para-personalizacion-manteleria.html"" target=""_blank""><strong>el contraste.ver</strong></a></p><p>En estos enlaces te dejamos toda la informaci¢n de este producto, para que sepas realmente quÇ es y puedas valorarlo.</p><p><br></p>";Servilletas Personalizadas Profesionales para Hosteler°a y Eventos>MANTELER÷A PERSONALIZADA TEXTIL Y NO TEXTIL| PRODUCTOS PERSONALIZADOS| Servilletas Personalizadas Profesionales para Hosteler°a y Eventos>MANTELER÷A PERSONALIZADA TEXTIL Y NO TEXTIL>Manteler°a un solo uso con c¢digo qr;;;;;0;;;21;PHCOM;;;;0;;Solicite Presupuesto ;;0;1;;;[Logo para Manteler°a Personalizada][Sube tu logo aqu°][][0][6]|[Logo  Manteler°a Personalizada][Si tienes m†s de un logo, aqu°][][0][6]|[D°ganos que ca°da quiere desde el borde de la mesa][Ca°da en cms. ][][0][1]
7308708;0;SERVILLETERO PARA SERVILLETA 20*20 EN MADERA Y PERSONALIZADO;<h2>Servilletero 20*20 Cocktail Personalizado en madera</h2><p>Un artesano amigo y colaborador, hace para nosotros estos servilleteros de manera m†s artesanal de lo que imaginas, por ello podemos darte a elegir entre distintas formas y modelos, incluso aceptar sugerencias de quÇ te gustar°a. El color a elegir es decisi¢n tuya, nosotros te enviaremos por mail o whatsapp el que tu desees para que te hagas una idea y de lo que estamos plenamente seguros es de que el acabado te encantar†.</p><p>Podemos hacer cualquier tipo de servilletero, no dudes en pedirnos informaci¢n.</p>;"<h2>Servilletero para servilleta de 20*20 o cocktail </h2><h3>Personalizado con tu logo</h3><p>Dispone de palillero y portacartas como podr†s <strong><a href=""https://www.youtube.com/watch?v=umfmwQCCsvg"" target=""_blank"">ver en este v°deo</a>,</strong> podemos tambiÇn hacerlo sin portacartas y sin palillero, es elecci¢n tuya, pero te ofrecemos en imagen el m†s completo. Hay toda una gama de colores que se pueden hacer y no es cuesti¢n de ponÇrtelos aqu°, tu dinos color y nosotros lo haremos. </p>";Tablas para men£ y especialidades| PRODUCTOS PERSONALIZADOS;;;;;0;;;21;;;;;1;;ENTREGA 12/15 DIAS;;0;1;;;[Logo para el servilletero][Adjuntar el logo en archivo jpg, png o pdf.][][1][6]|[Color en el que quieres el servilletero][Nogal, Naranja, Azul, Verde, etc.][][0][1]|[RECUERDA: El m°nimo a pedir es de 6 uds. ][M÷NIMO 6 UDS.][][0][1]
